,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
0,T4G Nano,t4g.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0042,$0.0026 hourly,$0.0027 hourly,,
1,T3A Nano,t3a.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0047,$0.0029 hourly,$0.0022 hourly,$0.0093 hourly,$0.0075 hourly
2,T3 Nano,t3.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0052,$0.0033 hourly,$0.0023 hourly,$0.0098 hourly,$0.0079 hourly
3,T2 Nano,t2.nano,0.5,1,EBS only,Low to Moderate,0.0058,$0.0036 hourly,,$0.0081 hourly,$0.0059 hourly
4,T4G Micro,t4g.micro,1,2,EBS only,Up to 5 Gigabit,0.0084,$0.0053 hourly,$0.0040 hourly,,
5,T3A Micro,t3a.micro,1,2,EBS only,Up to 5 Gigabit,0.0094,$0.0059 hourly,$0.0047 hourly,$0.0186 hourly,$0.0151 hourly
6,T3 Micro,t3.micro,1,2,EBS only,Up to 5 Gigabit,0.0104,$0.0065 hourly,$0.0043 hourly,$0.0196 hourly,$0.0157 hourly
7,T2 Micro,t2.micro,1,1,EBS only,Low to Moderate,0.0116,$0.0072 hourly,$0.0044 hourly,$0.0162 hourly,$0.0118 hourly
8,T4G Small,t4g.small,2,2,EBS only,Up to 5 Gigabit,0.0168,$0.0105 hourly,$0.0081 hourly,,
9,T3A Small,t3a.small,2,2,EBS only,Up to 5 Gigabit,0.0188,$0.0118 hourly,$0.0087 hourly,$0.0372 hourly,$0.0302 hourly
10,T1 Micro,t1.micro,0.613,1,EBS only,Very Low,0.02,$0.0140 hourly,$0.0085 hourly,$0.0200 hourly,$0.0150 hourly
11,T3 Small,t3.small,2,2,EBS only,Up to 5 Gigabit,0.0208,$0.0130 hourly,$0.0081 hourly,$0.0392 hourly,$0.0314 hourly
12,T2 Small,t2.small,2,1,EBS only,Low to Moderate,0.023,$0.0144 hourly,$0.0101 hourly,$0.0320 hourly,$0.0236 hourly
13,A1 Medium,a1.medium,2,1,EBS only,Up to 10 Gigabit,0.0255,$0.0161 hourly,$0.0110 hourly,,
14,T4G Medium,t4g.medium,4,2,EBS only,Up to 5 Gigabit,0.0336,$0.0211 hourly,$0.0151 hourly,,
15,C6G Medium,c6g.medium,2,1,EBS only,Up to 10 Gigabit,0.034,$0.0214 hourly,$0.0158 hourly,,
16,C7G Medium,c7g.medium,2,1,EBS only,Up to 12.5 Gigabit,0.0363,$0.0239 hourly,$0.0174 hourly,,
17,T3A Medium,t3a.medium,4,2,EBS only,Up to 5 Gigabit,0.0376,$0.0236 hourly,$0.0169 hourly,$0.0560 hourly,$0.0420 hourly
18,C6GD Medium,c6gd.medium,2,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0384,$0.0242 hourly,$0.0171 hourly,,
19,M6G Medium,m6g.medium,4,1,EBS only,Up to 10 Gigabit,0.0385,$0.0241 hourly,$0.0184 hourly,,
20,M7G Medium,m7g.medium,4,1,EBS only,Up to 12.5 Gigabit,0.0408,$0.0270 hourly,$0.0185 hourly,,
21,T3 Medium,t3.medium,4,2,EBS only,Up to 5 Gigabit,0.0416,$0.0261 hourly,$0.0186 hourly,$0.0600 hourly,$0.0445 hourly
22,C6GN Medium,c6gn.medium,2,1,EBS only,Up to 16 Gigabit,0.0432,$0.0273 hourly,$0.0192 hourly,,
23,M1 General Purpose Small,m1.small,1.7,1,160 GB                 HDD,Low,0.044,$0.0280 hourly,$0.0183 hourly,$0.0750 hourly,$0.0570 hourly
24,M6GD Medium,m6gd.medium,4,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0452,$0.0285 hourly,$0.0196 hourly,,
25,C7GD Medium,c7gd.medium,2,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.0454,$0.0286 hourly,$0.0193 hourly,,
26,T2 Medium,t2.medium,4,2,EBS only,Low to Moderate,0.0464,$0.0287 hourly,$0.0209 hourly,$0.0644 hourly,$0.0467 hourly
27,R6G Medium,r6g.medium,8,1,EBS only,Up to 10 Gigabit,0.0504,$0.0318 hourly,$0.0218 hourly,,
28,A1 Large,a1.large,4,2,EBS only,Up to 10 Gigabit,0.051,$0.0321 hourly,$0.0279 hourly,,
29,C7A Medium,c7a.medium,2,1,EBS only,Up to 12.5 Gigabit,0.0513,$0.0340 hourly,$0.0133 hourly,$0.0973 hourly,$0.0799 hourly
30,M7GD Medium,m7gd.medium,4,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.0534,$0.0336 hourly,$0.0217 hourly,,
31,R7G Medium,r7g.medium,8,1,EBS only,Up to 12.5 Gigabit,0.0536,$0.0354 hourly,$0.0237 hourly,,
32,R6GD Medium,r6gd.medium,8,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0576,$0.0363 hourly,$0.0292 hourly,,
33,M7A Medium,m7a.medium,4,1,EBS only,Up to 12.5 Gigabit,0.058,$0.0383 hourly,$0.0235 hourly,$0.1040 hourly,$0.0843 hourly
34,C7GN Medium,c7gn.medium,2,1,EBS only,Up to 25 Gigabit,0.0624,$0.0393 hourly,$0.0246 hourly,,
35,M3 General Purpose Medium,m3.medium,3.75,1,4 GB                 SSD,Moderate,0.067,$0.0480 hourly,$0.0287 hourly,$0.1300 hourly,$0.1000 hourly
36,T4G Large,t4g.large,8,2,EBS only,Up to 5 Gigabit,0.0672,$0.0421 hourly,$0.0303 hourly,,
37,R7GD Medium,r7gd.medium,8,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.068,$0.0428 hourly,$0.0327 hourly,,
38,C6G Large,c6g.large,4,2,EBS only,Up to 10 Gigabit,0.068,$0.0428 hourly,$0.0321 hourly,,
39,C7G Large,c7g.large,4,2,EBS only,Up to 12.5 Gigabit,0.0725,$0.0478 hourly,$0.0349 hourly,,
40,T3A Large,t3a.large,8,2,EBS only,Up to 5 Gigabit,0.0752,$0.0471 hourly,$0.0330 hourly,$0.1028 hourly,$0.0747 hourly
41,R7A Medium,r7a.medium,8,1,EBS only,Up to 12.5 Gigabit,0.0761,$0.0503 hourly,$0.0386 hourly,$0.1221 hourly,$0.0963 hourly
42,C6A Large,c6a.large,4,2,EBS only,Up to 12.5 Gigabit,0.0765,$0.0506 hourly,$0.0390 hourly,$0.1685 hourly,$0.1426 hourly
43,C6GD Large,c6gd.large,4,2,118 GB                 NVMe SSD,Up to 10 Gigabit,0.0768,$0.0484 hourly,$0.0338 hourly,,
44,M6G Large,m6g.large,8,2,EBS only,Up to 10 Gigabit,0.077,$0.0483 hourly,$0.0354 hourly,,
45,C5A Large,c5a.large,4,2,EBS only,Up to 10 Gigabit,0.077,$0.0490 hourly,$0.0368 hourly,$0.1690 hourly,$0.1410 hourly
